id_Number,city,latitude,longitude
16024200205307139,Gatka,30.739949,68.010362
44249200704305798,Gatka,25.785895,55.07127
55271198705043506,Gatka,33.88641,68.995303
68526192306294851,Gatka,44.371403,68.002847
66731200711072335,Gatka,32.570533,51.436001
82900200301287423,Gatka,32.173595,64.251142
12191194012265053,Gatka,26.73436,52.028566
31125194110233960,Gatka,31.699652,56.750231
43617195312302408,Gatka,40.616965,58.893848
73816193612114485,Gatka,20.769137,58.556864
73647196802132510,Gatka,42.491744,63.810624
22762199109017707,Gatka,42.42619,53.150076
28952195209131611,Gatka,23.574158,51.655536
13885193010114585,Gatka,23.294542,61.609247
40221197901308548,Gatka,43.323244,57.940717
53784196008266031,Gatka,33.637394,63.530661
82435198702237271,Gatka,28.355252,54.254846
73397196303245461,Gatka,34.138144,58.983797
83561193711051890,Gatka,33.073447,60.67555
10128195108299770,Gatka,22.694073,68.414813
92207195204237081,Gatka,48.952213,58.706606
94052194310286552,Gatka,31.51662,50.950716
63174198901161954,Gatka,47.824754,54.998942
50979194407205938,Gatka,38.796979,65.520042
90651196703087287,Gatka,49.899931,53.223468
92752196208144076,Gatka,39.913075,62.044917
32320200610182156,Gatka,34.254198,61.57343
80158193304253332,Gatka,40.393454,68.596821
55064200412132335,Gatka,30.993385,60.686369
77292201601056219,Gatka,28.544424,67.100134
76742202002283842,Gatka,37.64,57.232226
57455200501159807,Gatka,37.23079,61.300373
28389197002049699,Gatka,20.366805,65.388437
57957198606169849,Gatka,29.198979,65.043608
60812196712142078,Gatka,40.783897,60.556095
48451196102074549,Gatka,35.167073,56.420798
94663201812053351,Gatka,35.790828,58.431253
67809200805032979,Gatka,35.481906,69.44036
41854200803245010,Gatka,26.059864,67.422756
35219201510297391,Gatka,26.326247,60.188855
70587193501133082,Gatka,48.636927,61.168459
33100200710038221,Gatka,46.317293,51.702961
49285198505022894,Gatka,44.199932,65.761788
44833201511201837,Gatka,37.514331,68.639204
23756193012064379,Gatka,39.998849,51.015387
58459198104243634,Gatka,35.645697,55.983489
31610193703297269,Gatka,38.959828,62.151734
96132194702229038,Gatka,44.793211,51.078071
72794201404096490,Gatka,20.354404,66.252829
53426200110273989,Gatka,22.681191,55.99324
79367198905196439,Gatka,26.044126,50.338651
41182201609229126,Gatka,35.998713,66.094262
79689195401316411,Gatka,47.882581,61.348468
79922195608096595,Gatka,22.726692,65.464925
37016199409053197,Gatka,31.380819,54.267827
81136193102049575,Gatka,49.997366,63.470889
44817199210013018,Gatka,43.038961,60.711886
79330199902039180,Gatka,47.114017,54.874369
79605198702216492,Gatka,34.602663,62.173035
86206195206253472,Gatka,42.373535,58.222017
91528200102075590,Gatka,25.573896,50.274737
24959193002136309,Gatka,34.76644,66.982337
11876200103069365,Gatka,48.479281,50.229805
60551201410298108,Gatka,42.807907,58.243673
68842193508179725,Gatka,32.852603,50.057478
28400199701267014,Gatka,25.828071,52.201263
21227192709032015,Gatka,33.364682,53.740849
81535195912067145,Gatka,35.836015,53.079948
74849201305158226,Gatka,48.991519,61.121366
72784195611109192,Gatka,49.911461,53.068481
